terms,type,definition
국회의원,Politics,"국회를 구성하는 의원으로, 국민의 대표로 선출된 사람."
탄핵,Politics,"공직자가 직무를 수행하는 중에 법을 위반하거나 헌법을 위배한 경우 해임을 요구하는 제도."
대통령,Politics,"국가를 대표하고, 국회의원과 함께 '헌법'을 수호하며 행정 권력을 행사하는 사람."
법안,Politics,"'국회의원'이 발의하여 '국회'에서 심의 및 의결 과정을 거치는 법률 초안."
정당,Politics,"정치적 목적을 위해 결성된 단체로, '총선'을 통해 권력을 획득하려는 조직."
비례대표,Politics,"정당 득표율에 따라 의석을 배분하는 '국회의원' 선출 방식."
GDP,Economy,"'국내총생산'으로, 한 나라에서 일정 기간 동안 생산된 모든 재화와 서비스의 총합을 나타내는 경제 지표."
인플레이션,Economy,"상품과 서비스의 전반적인 가격 수준이 지속적으로 상승하는 현상."
환율,Economy,"한 나라의 통화가 다른 나라의 통화와 교환되는 비율로, '외환보유고'와 밀접한 관련이 있다."
금리,Economy,"'은행'이나 금융기관에서 대출 및 예금에 적용하는 이자율."
리세션,Economy,"'GDP' 성장률이 2분기 연속으로 감소하는 경제 침체 현상."
주식시장,Economy,"기업의 지분을 거래하는 시장으로, '금리'와 '환율'의 영향을 받는다."
재정적자,Economy,"정부가 세입보다 세출이 많은 상태를 의미하며, '국채' 발행의 원인이 된다."
외환보유고,Economy,"한 국가가 보유하고 있는 외환 자산의 총량으로, '환율' 안정화에 사용된다."
AI,Technology,"'인공지능'으로, 기계가 인간의 학습, 추론, 문제 해결 능력을 모방하는 기술."
블록체인,Technology,"'비트코인' 등 암호화폐의 기반 기술로, 분산 원장을 사용해 데이터를 안전하게 관리한다."
IoT,Technology,"'사물인터넷'으로, 인터넷을 통해 서로 연결된 기기들 간의 데이터 공유를 가능하게 한다."
빅데이터,Technology,"'AI'와 'IoT'에서 수집한 방대한 데이터를 분석하여 유용한 정보를 추출하는 기술."
클라우드컴퓨팅,Technology,"'데이터'와 소프트웨어를 인터넷을 통해 관리하고 저장하는 기술."
5G,Technology,"5세대 이동통신 기술로, 'IoT'와 '자율주행차' 구현의 핵심 역할을 한다."
양자컴퓨팅,Technology,"'양자역학'의 원리를 이용해 연산 속도를 극대화하는 차세대 컴퓨팅 기술."
유전자,Science,"생물의 형질을 결정하는 기본 단위로, 'DNA'를 통해 전달된다."
빅뱅,Science,"우주의 탄생을 설명하는 이론으로, '블랙홀'의 형성과 밀접한 관계가 있다."
중력,Science,"'물체' 간에 작용하는 끌어당기는 힘으로, '아인슈타인'의 이론으로 설명된다."
광합성,Science,"식물이 '태양'의 에너지를 이용해 '탄소'를 에너지로 전환하는 과정."
DNA,Science,"'유전자' 정보를 담고 있는 이중 나선 구조의 분자."
블랙홀,Science,"중력이 너무 강해 빛조차 빠져나갈 수 없는 '우주'의 천체."
대륙이동설,Science,"'판구조론'의 기반이 되는 이론으로, 대륙이 시간이 지나면서 이동한다고 설명한다."
진화론,Science,"'다윈'이 제시한 생물 종이 시간이 지나며 적응과 변화를 겪는다는 이론."
퀘이사,Science,"'빅뱅' 이후 초기 우주에서 강력한 에너지를 방출하는 천체."
한류,Culture,"한국의 '드라마', '영화', 'K-POP' 등 대중문화가 전 세계적으로 인기를 끄는 현상."
K-POP,Culture,"한국의 대중음악으로, '한류'의 주요 콘텐츠 중 하나이다."
한식,Culture,"한국의 전통 음식 문화로, '김치'와 '비빔밥'이 대표적이다."
명절,Culture,"'설날'과 '추석' 같은 한국 전통의 공휴일."
도깨비,Culture,"한국 민속 신화에 등장하는 초자연적 존재로, '탈춤'과 관련된 전설이 있다."
한복,Culture,"한국의 전통 의상으로, '명절'에 주로 착용한다."
탈춤,Culture,"한국의 전통 가면극으로, '도깨비' 이야기를 주제로 한다."
판소리,Culture,"한국 전통 음악의 한 장르로, '춘향전'과 '심청전'이 대표적이다."
삼국시대,History,"'고구려', '백제', '신라'가 한반도에 존재했던 시기."
조선왕조,History,"1392년에 건국되어 '일제강점기' 이전까지 지속된 한국의 왕조."
임진왜란,History,"1592년에 일본이 '조선왕조'를 침략하여 일어난 전쟁."
6.25전쟁,History,"1950년에 발발한 한반도 내 '북한'과 '남한' 간의 전쟁."
광복절,History,"1945년 '일제강점기'에서 해방된 것을 기념하는 날."
고려왕조,History,"'조선왕조' 이전 918년에 건국된 한국의 왕조."
갑신정변,History,"1884년에 일어난 '개화파'의 정치 혁명 시도."
3.1운동,History,"1919년 '일제강점기'에 일어난 대규모 독립운동."
대한제국,History,"1897년에 선포된 '고종'의 자주적 국가 체제."
일제강점기,History,"1910년부터 1945년까지 일본이 '조선'을 지배한 시기."
지구온난화,Environment,"지구의 평균 기온이 상승하는 현상으로, '온실가스' 배출이 주요 원인이다."
탄소중립,Environment,"배출되는 '탄소'와 흡수되는 '탄소'가 균형을 이루는 상태."
미세먼지,Environment,"대기 중에 떠다니는 작은 먼지 입자로, '환경오염'과 관련이 있다."
재활용,Environment,"사용한 물품을 다시 가공하여 사용하는 친환경적 방법."
멸종위기종,Environment,"개체 수가 급격히 감소해 '멸종' 위기에 처한 종."
온실가스,Environment,"지구를 따뜻하게 만드는 기체로, '지구온난화'의 원인 중 하나이다."
사회복지,Society,"사회 구성원의 '복지'를 향상시키기 위한 제도와 활동."
고령화,Society,"'노인' 인구가 증가하여 사회 전체 인구 구성에 변화가 생기는 현상."
저출산,Society,"출생률 감소로 인해 '고령화'와 맞물려 사회적 문제가 되는 현상."
워라밸,Society,"'일'과 '삶'의 균형을 뜻하는 현대 사회의 트렌드."
